"_EMAIL_NOTIFY_GROUP_PROMOTE_DESCRIPTION";"This email is sent when a member is promoted to officer in a circle."
"_EMAIL_NOTIFY_GROUP_PROMOTE_SUBJECT";"You have been promoted to officer in the circle [object_title]"
"_EMAIL_NOTIFY_GROUP_PROMOTE_BODY";"[header]

You have been promoted to officer in the circle ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

"All categories";"All categories"
"Everyone's Groups";"Everyone's Circles"
"Only my friends' group";"Only my friends' circle"
"list by";"list by"
"Recently created";"Recently created"

"Message Members";"Message Members"

"The changes to your post have been saved.";"The changes to your post have been saved."

"You have not joined any groups yet.";"You have not joined any circles yet."
"There are no groups yet.";"There are no circles yet."
"Why don't you %1$screate one%2$s?";"Why don't you %1$screate one%2$s?"

"Group doesn't exists or not authorized to delete";"Circle doesn't exists or not authorized to delete"
"The selected group has been deleted.";"The selected circle has been deleted."

"Watch Topic";"Watch Topic"
"Stop Watching Topic";"Stop Watching Topic"
